create_time,double_chicken,double_damage_per_match,double_deaths_num,double_headshot_kills_sum,double_kills_max,double_kills_sum,double_play_times,double_rating,double_survived_second,id,mode,season,solo_chicken,solo_damage_per_match,solo_deaths_num,solo_headshot_kills_sum,solo_kills_max,solo_kills_sum,solo_play_times,solo_rating,group1,group2,solo_survived_second,square_chicken,square_damage_per_match,square_deaths_num,square_headshot_kills_sum,square_kills_max,square_kills_sum,square_play_times,square_rating,square_survived_second,user_id
7/18/2018,13,244.52,148,70,10,287,161,1793,652.909,304874,tpp,18-Sep,2,147.456,58,20,6,70,60,1638,low,low,382.601,21,275.969,265,156,12,604,286,1883,721.659,5b29993bd31cba000125a193
7/18/2018,0,102.864,22,1,2,15,22,1693,538.015,304270,tpp,18-Sep,0,66.3842,25,1,2,13,25,1638,low,low,319.342,10,95.893,310,30,7,195,320,1941,865.149,5a2c00f264f344000191082e
7/18/2018,1,114.746,88,11,5,73,89,1809,609.768,304056,tpp,18-Sep,0,24.26,8,0,1,1,8,1640,low,low,132.898,5,90.8528,126,16,5,70,131,1770,568.091,5a92a550fa833e000177efef
7/18/2018,0,85.6967,42,5,2,21,42,1713,604.006,305016,tpp,18-Sep,0,92.1827,34,6,4,22,34,1643,low,low,426.067,11,88.4718,145,18,7,81,156,1803,737.792,5a5b3d70647242000166a817
7/18/2018,0,99.5245,6,0,1,1,6,1720,958.401,304577,tpp,18-Sep,0,24.8178,8,0,1,1,8,1645,low,low,326.886,1,48.7918,126,9,3,37,127,1872,741.597,5b8961b4fdd9260001c8cfcb
7/18/2018,2,98.4569,31,4,3,24,33,1830,880.292,304680,tpp,18-Sep,0,76.3794,13,2,2,7,13,1648,low,low,289.304,7,96.2439,201,32,4,107,208,1940,901.625,5a595a2f95e11c00015380ea
7/18/2018,0,60.0215,17,1,3,6,17,1688,471.216,304809,tpp,18-Sep,0,17.6187,18,1,1,1,18,1649,low,low,341.225,0,146.309,59,12,4,54,59,1857,888.438,59fe363614f756000111c0bf
7/18/2018,2,282.758,53,20,10,131,55,1807,512.034,304016,tpp,18-Sep,0,235.201,74,29,14,158,74,1649,low,low,327.137,7,298.39,79,35,13,201,86,1776,609.678,59fdada6301cfa0001f777fe
7/18/2018,2,156.713,106,19,7,128,108,1726,484.782,303066,tpp,18-Sep,0,111.912,36,8,7,37,36,1650,low,low,281.712,9,113.922,275,53,6,219,284,1862,641.817,5b1b99943e8c9e0001075b31
7/18/2018,0,68.2173,91,8,5,40,91,1793,631.988,304460,tpp,18-Sep,0,44.4994,64,5,3,20,64,1651,low,low,447.515,4,87.392,150,29,4,74,154,1890,800.152,59fdcdb633e36200017f8701
7/18/2018,3,84.3761,111,20,5,61,114,1786,849.668,303891,tpp,18-Sep,0,40.8512,5,0,1,1,5,1652,low,low,261.229,2,63.1015,26,5,3,14,28,1679,519.259,59fe3d23ca260300013da515
7/18/2018,0,111.18,9,1,4,6,9,1744,881.021,304291,tpp,18-Sep,0,46.0505,13,1,1,3,13,1655,low,low,411.506,2,90.3744,63,14,6,41,65,1808,869.788,5a0ce31f1f97b70001c547ca
7/18/2018,5,133.115,258,59,6,242,263,1768,706.772,304175,tpp,18-Sep,0,36.8385,26,1,2,5,26,1655,low,low,426.824,2,135.33,130,29,5,115,132,1806,778.097,5a9f99b7d2fd2900016c5c0d
7/18/2018,0,108.527,22,4,4,18,22,1751,655.7,303228,tpp,18-Sep,0,69.5627,7,0,4,5,7,1655,low,low,452.574,3,101.212,132,27,4,91,135,1900,671.558,59fe3d10e73f6f0001c2b856
7/18/2018,2,281.057,31,19,13,79,33,1800,651.298,303028,tpp,18-Sep,1,176.861,20,11,13,35,21,1655,low,low,250.93,41,317.003,500,418,17,1431,541,1997,719.122,5a133fbf1c232f0001525163
7/18/2018,1,108.337,72,20,7,50,73,1636,467.378,303033,tpp,18-Sep,0,82.6799,48,2,3,32,48,1656,low,low,427.345,7,131.984,143,41,9,143,150,1834,654.051,5abca66f4843b10001a00233
7/18/2018,1,138.199,58,16,6,50,59,1877,1021.98,303938,tpp,18-Sep,0,31.0155,26,1,4,5,26,1659,low,low,548.243,0,90.0379,31,3,2,13,31,1760,858.333,5ab2287e1d4fea0001378bb5
7/18/2018,2,133.213,145,29,7,113,147,1727,678.844,304558,tpp,18-Sep,0,99.3241,17,2,2,12,17,1659,low,low,364.281,3,107.246,133,15,3,94,136,1802,815.19,5a070c718041fa0001b7364a
7/18/2018,7,70.6959,213,15,6,101,220,1680,653.974,304908,tpp,18-Sep,0,57.681,237,24,4,86,237,1662,low,low,619.236,13,65.6664,251,19,6,105,264,1753,722.023,5a49b8fa4a54030001ee42ba
7/18/2018,0,213.334,14,7,6,21,14,1710,587.91,304726,tpp,18-Sep,0,134.179,28,12,4,31,28,1662,low,low,422.435,9,269.635,451,303,13,927,460,1772,686.589,59fe3d49470aaa00016ac0e5
7/18/2018,0,67.7899,68,5,4,21,68,1869,943.278,304146,tpp,18-Sep,0,48.5431,6,0,1,1,6,1664,low,low,253.338,0,83.3027,11,0,2,4,11,1777,1115.14,5a0c05f8697e3a0001f1e7d1
7/18/2018,0,233.505,24,13,5,45,24,1818,815.597,304038,tpp,18-Sep,0,115.49,7,0,3,8,7,1664,low,low,208.783,9,181.279,101,43,8,160,110,1919,886.49,59fde0ef476a1d0001a15449
7/18/2018,2,75.5184,201,17,4,94,203,1772,651.022,303749,tpp,18-Sep,0,71.7657,47,5,4,18,47,1664,low,low,432.683,7,81.9363,331,28,6,177,338,1729,660.577,59fd98f6bcd6b600015fd910
7/18/2018,0,55.3876,108,6,4,42,108,1714,540.174,303041,tpp,18-Sep,0,70.732,13,1,1,3,13,1665,low,low,276.355,11,65.1477,111,13,3,58,122,1871,801.294,5b26696b7a33d50001c8d68a
7/18/2018,6,67.8958,190,26,5,82,196,1749,500.189,304529,tpp,18-Sep,2,99.5797,75,10,5,52,77,1666,low,low,492.445,9,92.3368,415,38,6,219,424,1705,665.592,5b7116d66c1f480001554150
7/18/2018,1,150.768,96,18,7,91,97,1757,735.609,303459,tpp,18-Sep,0,40.8819,9,0,1,2,9,1667,low,low,188.327,11,166.291,196,38,8,208,207,1914,838.326,59fdc1124d66730001174e4b
7/18/2018,5,143.601,395,104,11,451,400,1662,453.64,303335,tpp,18-Sep,0,111.801,12,3,3,10,12,1668,low,low,410.491,3,185.377,110,41,10,158,113,1810,597.787,5b17693b2e572c00012ead78
7/18/2018,0,64.3682,84,10,4,30,84,1844,777.39,303759,tpp,18-Sep,0,46.5429,7,1,2,3,7,1668,low,low,457.922,1,63.7002,235,14,5,87,236,1851,761.601,5a04fa1d53c4690001a0a8bc
7/18/2018,1,177.441,35,11,5,44,36,1716,671.475,303112,tpp,18-Sep,0,128.717,15,6,2,10,15,1668,low,low,309.838,19,189.018,354,112,9,472,373,1917,835.339,5a045e7254e3a90001797d65
7/18/2018,5,174.23,119,31,8,171,124,1807,565.179,305020,tpp,18-Sep,0,79.9878,18,0,4,12,18,1668,low,low,364.989,19,137.523,454,82,7,448,473,1773,594.327,5ad2107e92d0e000017f5848
